utente,tipo_evento,cod_2
3136,3,1
3136,1,1
3136,1,1
3136,1,1
3136,3,1
3136,1,1
3136,3,1
3136,3,1
3136,3,1
3136,1,1
3136,1,1
3136,3,1
3136,3,1
3136,1,1
3136,1,1
3136,3,1
3136,3,1
3136,3,1
3136,3,1
3136,3,1
3136,3,1
3136,1,1
3136,3,1
3136,3,1
3136,1,1
3136,1,1
3136,3,1
3136,3,1
3136,3,1
3136,1,1
3136,1,1
3136,1,1
3136,3,1
3136,1,1
3136,1,1
3136,1,1
3136,1,1
3136,3,1
3136,1,1
3136,3,1
3136,3,1
3136,1,1
3136,1,1
3136,1,1
3136,1,1
3136,3,1
3136,3,1
3136,3,1
3136,3,1
3136,3,1
3136,1,1
3136,3,1
3136,1,1
3136,3,1
3136,3,1
3136,3,1
3136,3,1
3136,3,1
3136,1,1
3136,3,1
3136,1,1
3136,1,1
3136,1,1
3136,1,1
3137,3,1
3137,1,1
3137,1,1
3137,3,1
3137,3,1
3137,2,3
3137,3,1
3137,1,1
3137,3,1
3137,3,1
3137,1,1
3137,1,1
3137,1,1
3137,1,1
3137,1,1
3137,1,1
3137,2,3
3137,3,1
3137,3,1
3137,3,1
3137,3,1
3137,3,1
3137,3,1
3137,1,1
3137,2,3
3137,1,1
3137,1,1
3137,1,1
3137,3,1
3137,3,1
3137,3,1
3137,1,1
3137,3,1
3137,3,1
3137,3,1
3137,3,1
3137,1,1
3137,1,1
3137,2,3
3137,1,1
3137,3,1
3137,3,1
3137,3,1
3137,1,1
3137,3,1
3137,1,1
3137,3,1
3137,2,3
3137,3,1
3137,1,1
3137,1,1
3137,1,1
3137,3,1
3137,3,1
3137,1,1
3137,1,1
3137,3,1
3137,1,1
3137,1,1
3137,3,1
3137,1,1
3137,3,1
3137,3,1
3137,1,1
3137,3,1
3137,3,1
3137,3,1
3137,1,1
3137,1,1
3137,1,1
3137,3,1
3137,3,1
3137,3,1
3137,1,1
3137,3,1
3137,1,1
3137,1,1
3137,3,1
3137,1,1
3137,1,1
3137,3,1
3137,1,1
3137,3,1
3137,1,1
3137,3,1
3137,1,1
3137,1,1
3137,3,1
3137,3,1
3137,1,1
3137,1,1
3137,1,1
3137,3,1
3137,1,1
3137,3,1
3137,3,1
3137,3,1
